customer_id,tenure_months,contract_type,internet_service,payment_method,monthly_charges,total_charges,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,churn,satisfaction_score,account_creation_date,last_activity_date,customer_segment,risk_tier
CUS0000001,6,One Year,Fiber Optic,Credit Card (Automatic),139.77,864.5,1,0,0,1,0,0,0,9.6,2024-07-03,2024-12-12,New,High
CUS0000002,3,Month-to-Month,Fiber Optic,Mailed Check,134.84,411.94,0,1,1,1,0,1,1,5.5,2024-10-02,2024-12-29,New,High
CUS0000003,12,Month-to-Month,DSL,Electronic Check,70.62,858.6,1,1,0,0,1,0,1,4.7,2024-01-02,2025-01-01,New,High
CUS0000004,10,One Year,No Internet,Electronic Check,69.72,679.03,0,0,1,0,1,0,1,3.2,2024-03-03,2024-12-09,New,High
CUS0000005,7,Month-to-Month,Fiber Optic,Electronic Check,102.41,709.24,1,1,0,1,0,0,0,5.3,2024-06-02,2024-12-24,New,Critical
CUS0000006,12,Month-to-Month,DSL,Bank Transfer (Automatic),58.87,683.89,0,0,1,0,1,0,0,8.4,2024-01-02,2024-12-25,New,High
CUS0000007,4,Two Year,Fiber Optic,Credit Card (Automatic),116.04,464.57,1,0,0,0,0,1,0,6.5,2024-09-02,2024-12-25,New,High
CUS0000008,6,Month-to-Month,No Internet,Credit Card (Automatic),28.19,170.56,0,1,0,0,0,1,0,3.8,2024-07-03,2024-12-28,New,High
CUS0000009,9,Month-to-Month,Fiber Optic,Electronic Check,100.18,913.45,0,0,1,1,1,0,1,6.2,2024-04-03,2024-12-09,New,Critical
CUS0000010,2,Two Year,No Internet,Bank Transfer (Automatic),35.67,74.02,0,1,0,0,1,1,0,8.6,2024-11-02,2024-12-29,New,Medium
CUS0000011,6,One Year,No Internet,Credit Card (Automatic),43.89,251.8,0,0,0,1,0,1,0,3.5,2024-07-03,2024-12-11,New,High
CUS0000012,10,One Year,No Internet,Electronic Check,29.36,290.32,0,0,0,0,1,0,0,6.0,2024-03-03,2024-12-09,New,High
CUS0000013,10,Two Year,Fiber Optic,Electronic Check,124.61,1257.44,0,0,0,0,1,1,0,8.7,2024-03-03,2024-12-04,New,High
CUS0000014,7,Month-to-Month,DSL,Bank Transfer (Automatic),66.38,467.92,1,1,0,1,0,0,1,5.6,2024-06-02,2024-12-15,New,High
CUS0000015,4,One Year,Fiber Optic,Bank Transfer (Automatic),106.52,405.7,1,0,0,1,0,0,0,7.4,2024-09-02,2024-12-30,New,High
CUS0000016,3,Month-to-Month,Fiber Optic,Mailed Check,103.01,299.43,1,1,0,1,0,0,0,9.2,2024-10-02,2024-12-14,New,High
CUS0000017,7,Two Year,Fiber Optic,Bank Transfer (Automatic),84.36,610.94,1,0,1,0,0,0,0,8.0,2024-06-02,2024-12-19,New,High
CUS0000018,7,Month-to-Month,No Internet,Credit Card (Automatic),28.67,201.0,0,0,0,1,0,0,1,6.7,2024-06-02,2024-12-31,New,High
